Date,High,Low,Mid,Last,Bid,Ask,Volume
2017-01-14,832.39,775.61,827.25,827.22,826.39,828.11,25871.21133403
2017-01-15,838.54,800.03,817.345,815.85,816.84,817.85,12533.89690393
2017-01-16,823.0,805.03,821.07,820.74,820.94,821.2,5379.11823595
2017-01-17,837.97,813.94,830.05,830.1,830.0,830.1,7652.41647063
2017-01-18,910.8,828.0,903.975,903.99,903.96,903.99,27345.22656398
2017-01-19,913.85,847.23,888.375,888.14,888.25,888.5,21313.19615659
2017-01-20,910.03,883.49,901.81,901.56,901.56,902.06,15074.0085325
2017-01-21,904.99,883.06,895.955,896.14,895.58,896.33,9493.97685714
2017-01-22,931.01,893.89,924.26,924.02,924.22,924.3,12173.61851885
2017-01-23,939.9,892.0,923.715,923.72,923.71,923.72,21844.16279593
2017-01-24,928.87,905.99,906.075,905.99,905.99,906.16,9808.19381728
2017-01-25,927.34,884.2,886.445,886.45,886.44,886.45,20580.09225021
2017-01-26,899.61,884.2,893.68,893.35,893.46,893.9,10476.7202953
2017-01-27,917.64,893.49,915.135,915.37,915.12,915.15,9821.65148972
2017-01-28,922.16,905.0,916.885,916.7,916.79,916.98,10140.74588812
2017-01-29,923.99,915.01,919.555,919.43,919.47,919.64,3614.96133848
2017-01-30,922.99,910.72,912.63,912.55,912.56,912.7,2700.81599478
2017-01-31,920.89,910.01,917.16,917.36,917.01,917.31,3480.8383197
2017-02-01,969.4,916.75,966.195,966.2,966.19,966.2,19615.15770733
2017-02-02,985.0,960.1,983.635,983.52,983.56,983.71,11349.92981341
2017-02-03,1010.6,970.1,1007.1,1007.0,1007.0,1007.2,17790.8447822
2017-02-04,1020.5,986.11,1016.65,1016.9,1016.4,1016.9,19029.92892955
2017-02-05,1040.0,1001.6,1030.9,1031.1,1030.7,1031.1,17134.09356892
2017-02-06,1033.0,995.1,1007.0,1006.6,1006.7,1007.3,16188.32220713
2017-02-07,1026.3,1006.0,1022.4,1022.6,1022.0,1022.8,8898.68443426
2017-02-08,1056.4,1021.7,1052.3,1052.1,1052.1,1052.5,15187.02639096
2017-02-09,1070.0,1006.5,1048.95,1048.9,1048.9,1049.0,23105.63125251
2017-02-10,1078.0,936.34,984.98,984.99,984.97,984.99,59941.06866578
2017-02-11,1002.0,949.36,992.8,992.99,992.61,992.99,24494.98954846
2017-02-12,1009.0,984.01,1000.15,1000.0,1000.0,1000.3,9318.50128372
2017-02-13,1005.8,992.33,996.07,996.0,996.0,996.14,4349.23576817
2017-02-14,1004.8,974.22,996.515,996.52,996.51,996.52,9055.11070931
2017-02-15,1019.0,988.6,1013.25,1013.3,1013.2,1013.3,12202.30781261
2017-02-16,1018.2,1002.3,1013.95,1014.0,1013.9,1014.0,5608.51386076
2017-02-17,1045.8,1013.9,1037.25,1038.5,1037.2,1037.3,11242.73276844
2017-02-18,1067.4,1033.1,1056.95,1056.9,1056.9,1057.0,16172.94740828
2017-02-19,1071.1,1053.1,1059.8,1059.8,1059.5,1060.1,7146.10940527
2017-02-20,1066.0,1045.0,1056.25,1056.2,1056.2,1056.3,6437.47647489
2017-02-21,1110.0,1040.1,1091.2,1090.9,1090.9,1091.5,13294.7618127
2017-02-22,1134.0,1085.0,1130.4,1129.6,1130.0,1130.8,24498.36718285
2017-02-23,1140.0,1106.4,1125.85,1126.6,1125.5,1126.2,14348.59464901
2017-02-24,1197.0,1116.5,1190.15,1190.7,1189.9,1190.4,26149.41920126
2017-02-25,1222.4,1110.0,1185.15,1185.2,1185.1,1185.2,48200.5251418
2017-02-26,1189.9,1131.3,1153.2,1153.0,1153.0,1153.4,16261.8289789
2017-02-27,1186.1,1130.7,1179.2,1178.7,1178.7,1179.7,11081.09539733
2017-02-28,1204.0,1170.0,1195.7,1195.9,1195.4,1196.0,11831.19391413
2017-03-01,1216.0,1176.6,1189.1,1189.1,1189.0,1189.2,17402.74654792
2017-03-02,1236.4,1186.0,1234.8,1234.8,1234.7,1234.9,22560.00164844
2017-03-03,1285.9,1212.0,1257.55,1257.4,1257.3,1257.8,30526.80495357
2017-03-04,1294.9,1256.0,1289.3,1289.7,1288.9,1289.7,22309.05200501
2017-03-05,1291.9,1240.0,1267.25,1267.0,1267.0,1267.5,15527.60449333
2017-03-06,1279.9,1245.0,1278.45,1278.4,1278.4,1278.5,9315.22167347
2017-03-07,1287.8,1268.0,1279.25,1279.2,1279.2,1279.3,9602.85826267
2017-03-08,1282.0,1185.0,1232.35,1232.3,1232.3,1232.4,42009.04881595
2017-03-09,1243.6,1142.1,1149.35,1150.0,1149.3,1149.4,46839.64626745
2017-03-10,1207.6,1136.0,1190.35,1190.3,1190.3,1190.4,24142.71884558
2017-03-11,1339.9,958.5,1112.65,1113.4,1112.6,1112.7,104918.83222702
2017-03-12,1196.6,1101.2,1172.75,1172.1,1172.5,1173.0,31280.63997761
